id	filename	md5	size	state
07def634-b216-4d26-a7c1-973d88071d40	TCGA-CJ-4892-01A-01-BS1.ac7cae52-637b-4661-a4ab-9ce305374307.svs	312d8212537eabb526efb638450d7e8a	295378329	live
07eb2e33-56fa-4430-a00e-7df58615ae79	TCGA-A3-3328-01A-01-TS1.b7b9ec21-2754-4869-802c-92ee54972b19.svs	a5ce6e74215dffa2011b47e590b9a4fa	96728473	live
0833f42b-1e60-46cc-8014-81fe8a074ac1	TCGA-CW-5591-01A-01-BS1.7d492742-715e-403f-9a9a-8a0836fd51fa.svs	c89413e93c924c62db2d047761d30b72	138873871	live
08830967-33cb-4c18-939e-66044086c588	TCGA-CJ-4893-01A-01-BS1.b8c00259-4e8d-46c4-afad-a1f7ea82eea0.svs	d4c683b573f079953663d29c45250dbf	174766339	live
0888d3a7-d630-48e3-8de3-27ceafaf344c	TCGA-A3-3335-01A-01-TS1.2f75ad51-f890-475e-8b1f-c6e98cffe1b1.svs	55fedc5e1c06a3f0efe17489c714de39	76222323	live
088dae29-b8fa-4c78-8dcc-2c61a1e61539	TCGA-B0-4836-01A-01-TS1.afab1da2-5e0f-434d-8c5e-2c8093f4b76f.svs	cdaa56a257c1f72707f44f6316dad741	157570381	live
08a40528-02d1-442e-8cda-b8401becd80d	TCGA-CJ-4638-01A-02-BS2.271e0fc3-07e1-4652-ab06-ff252b7da631.svs	0f26219e062e5146254dc44a52da3a36	249387487	live
08a9fcc3-a0b4-4662-b451-58e9837532bb	TCGA-BP-4169-01A-01-BS1.05f07e7a-30ba-4b04-8eda-73cd75f8ef35.svs	0640836144b292d8d22d32c4f80f54b2	168282021	live
09009dba-9bf8-4e2c-beaf-48a7439cc514	TCGA-B0-5698-01A-01-BS1.6c56bb18-c88a-4591-87e2-7f5d92af90a2.svs	36ff89703169571ebaec906db9386be8	323186765	live
09571049-a285-40e6-81ff-a8130cb5cd7b	TCGA-CJ-6033-01A-01-BS1.d8c42f88-31b4-4e2e-b92e-186e3aceabf6.svs	851447bf0f3b8ea9a30798710ce1e840	382303259	live
095a4ccd-569c-4201-be14-564cbf95cc1a	TCGA-B0-5113-01A-01-TS1.a5dd3348-6618-4298-ace4-ed9b69169b10.svs	b00d0f2af0aaa50681b93e6b983e2477	478716725	live
09680cae-0bec-4261-b996-c81188ecd317	TCGA-CJ-5681-11A-01-TS1.24256c0e-3068-4924-9b10-6e8b358666ac.svs	c60fb20a0f2617240c6badb69b5ef289	283683857	live
09cca475-e7fe-4fa5-9550-ce9b5c943f54	TCGA-CZ-5454-01A-01-TS1.a00b6c10-c0af-4c0c-8c08-4683d33877ee.svs	58088a83fa7511e39791335d9fd130e2	306416089	live
09f09d0b-99bc-46c7-bfa0-3c3ac2ab4308	TCGA-B0-5400-01A-01-TS1.87aa28a3-c2ca-4e02-9d9f-6c6f3ec71a89.svs	9ba05201451b408c643761bed9f07c6f	27048283	live
0a33b0e7-7130-499e-9262-a39445aecceb	TCGA-B0-5699-01A-01-BS1.e849745d-4c87-4379-983d-75f62d427be1.svs	96cda901e25f02df20b17c065afafd1c	246248515	live
0a35fd79-774d-4045-8120-11c997f8d6fb	TCGA-CJ-4918-01A-01-TS1.38ab50c3-383d-4a50-9623-0b6392fe98a2.svs	5cd36fc87fecc5465e976710382b19e8	202735687	live
0a78c845-1141-4ac4-9811-909b9d3c1a7d	TCGA-BP-5173-01A-01-TS1.cd7832d0-ed3b-482b-a8bd-e572c140c6d1.svs	bedabdd5de9f7b72ee4b8ededd948466	46394203	live
